Sample_ID,Group,Cluster_0_Pos_Median,Cluster_0_Valid_Bases,Cluster_1_Pos_Median,Cluster_1_Valid_Bases,Donor_ID,Age,Is_Disease,Doubling_Time,TMM_Status,Final_Group,Shape_Type,Ratio_Group,Pos_Ratio
SRR26842273,Cancer,7502.0,6434469,7930.0,2001057,SRR26842273,,False,102.19,ALT,Cancer (Slow Growth),ALT,Cancer,1.0570514529458812
SRR26842275,Cancer,7025.0,5248624,7624.0,935565,SRR26842275,,False,71.88,ALT,Cancer (Fast Growth),ALT,Cancer,1.0852669039145908
SRR26842276,Cancer,6707.0,1223764,7292.0,227115,SRR26842276,,False,71.88,ALT,Cancer (Fast Growth),ALT,Cancer,1.0872223050544207
SRR26842277,Cancer,6153.0,4029094,6817.0,441988,SRR26842277,,False,97.22,ALT,Cancer (Slow Growth),ALT,Cancer,1.1079148382902648
SRR26842278,Cancer,6034.0,3606494,6644.0,738036,SRR26842278,,False,46.57,ALT,Cancer (Fast Growth),ALT,Cancer,1.1010938017898575
SRR26842279,Cancer,6036.0,9859652,6769.0,2115373,SRR26842279,,False,46.57,ALT,Cancer (Fast Growth),ALT,Cancer,1.1214380384360503
SRR26842280,Cancer,3849.0,88183,4273.0,13953,SRR26842280,,False,98.21,TERT,Cancer (Slow Growth),TERT,Cancer,1.110158482722785
SRR26842281,Cancer,3737.0,33332,5957.0,6769,SRR26842281,,False,98.21,TERT,Cancer (Slow Growth),TERT,Cancer,1.5940594059405941
SRR26842285,Cancer,4523.0,4863942,5564.0,795520,SRR26842285,,False,99.13,ALT,Cancer (Slow Growth),ALT,Cancer,1.2301569754587662
SRR26842286,Cancer,4577.0,470962,5741.0,81729,SRR26842286,,False,99.13,ALT,Cancer (Slow Growth),ALT,Cancer,1.2543150535285121
SRR26842300,Cancer,6394.0,10988161,7344.0,2052918,SRR26842300,,False,28.35,TERT,Cancer (Fast Growth),TERT,Cancer,1.14857679074132
SRR26842301,Cancer,4283.0,2555481,4874.0,407365,SRR26842301,,False,78.31,TERT,Cancer (Fast Growth),TERT,Cancer,1.1379873920149428
SRR26842302,Cancer,3779.0,9007610,4279.0,1647337,SRR26842302,,False,41.06,TERT,Cancer (Fast Growth),TERT,Cancer,1.1323101349563376
SRR26842306,Cancer,7473.0,651296,7648.0,205662,SRR26842306,,False,102.19,ALT,Cancer (Slow Growth),ALT,Cancer,1.0234176368259067
SRR26842307,Cancer,7140.0,1440623,7430.0,489924,SRR26842307,,False,102.19,ALT,Cancer (Slow Growth),ALT,Cancer,1.0406162464985995
SRR26842317,Cancer,3024.0,5142937,3623.0,1229083,SRR26842317,,False,105.83,TERT,Cancer (Slow Growth),TERT,Cancer,1.1980820105820107
SRR26842320,Cancer,5760.0,26977979,6191.0,3478013,SRR26842320,,False,97.22,ALT,Cancer (Slow Growth),ALT,Cancer,1.074826388888889
SRR26842322,Cancer,6119.0,36801526,6590.0,6405512,SRR26842322,,False,46.57,ALT,Cancer (Fast Growth),ALT,Cancer,1.076973361660402
SRR26842329,Cancer,4382.0,3617875,4829.0,462059,SRR26842329,,False,99.13,ALT,Cancer (Slow Growth),ALT,Cancer,1.1020082154267459
